Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16512;"Review of Educational Research";journal;"00346543, 19351046";7,474;Q1;140;23;92;2973;1424;89;10,80;129,26;United States;Northern America;"SAGE Publications Inc.";"1931-2020";"Education (Q1)"
2;16965;"Internet and Higher Education";journal;"10967516";4,247;Q1;81;22;91;1195;1036;90;9,38;54,32;United Kingdom;Western Europe;"Elsevier BV";"1998-2020";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
3;13358;"Sociology of Education";journal;"00380407, 19398573";3,926;Q1;88;18;58;1433;256;51;4,50;79,61;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2020";"Education (Q1); Sociology and Political Science (Q1)"
4;5800194481;"Educational Researcher";journal;"0013189X";3,678;Q1;118;59;148;2524;763;134;4,36;42,78;United States;Northern America;"SAGE Publications Inc.";"1972-2020";"Education (Q1)"
5;21100783502;"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM";conference and proceedings;"-";3,592;-;3;0;5;0;59;3;0,00;0,00;United States;Northern America;"";"";"Computer Science Applications; Computer Science (miscellaneous); Education"
6;21100403241;"Research Synthesis Methods";journal;"17592879, 17592887";3,413;Q1;27;47;129;2048;732;111;5,77;43,57;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010, 2013-2020";"Education (Q1)"
7;12481;"Journal of Engineering Education";journal;"10694730, 21689830";3,288;Q1;101;37;93;2046;564;68;7,17;55,30;United States;Northern America;"Wiley-Blackwell";"1969-1978, 1993-1995, 1997-2020";"Education (Q1); Engineering (miscellaneous) (Q1)"
8;12808;"Journal of Educational Psychology";journal;"19392176, 00220663";3,272;Q1;196;148;221;5564;1270;207;5,52;37,59;United States;Northern America;"American Psychological Association Inc.";"1910-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
9;3900148216;"Studies in Second Language Acquisition";journal;"02722631";3,238;Q1;58;70;93;3831;412;91;4,16;54,73;United Kingdom;Western Europe;"Cambridge University Press";"1978-1996, 2005-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
10;29432;"American Educational Research Journal";journal;"00028312, 19351011";3,223;Q1;112;107;160;8294;824;145;5,96;77,51;United States;Northern America;"SAGE Publications Ltd";"1978, 1982, 1986, 1996-2020";"Education (Q1)"
11;4700152248;"Educational Research Review";journal;"1747938X";3,216;Q1;57;38;77;3959;831;72;11,21;104,18;Netherlands;Western Europe;"Elsevier Ltd.";"2006-2020";"Education (Q1)"
12;21100199107;"Education Finance and Policy";journal;"15573079, 15573060";3,214;Q1;21;18;57;683;169;56;2,83;37,94;United States;Northern America;"MIT Press Journals";"2011-2020";"Education (Q1)"
13;19726;"Educational Evaluation and Policy Analysis";journal;"01623737, 19351062";3,210;Q1;73;22;81;1070;343;79;4,00;48,64;United States;Northern America;"SAGE Publications Inc.";"1979-1982, 1996-2020";"Education (Q1)"
14;13354;"Journal of Teacher Education";journal;"00224871, 15527816";3,142;Q1;84;63;104;3815;490;86;4,93;60,56;United States;Northern America;"SAGE Publications Inc.";"1950-2020";"Education (Q1)"
15;21100451321;"Scientific data";journal;"20524463";3,099;Q1;48;379;670;3038;4577;594;5,93;8,02;United Kingdom;Western Europe;"Nature Publishing Group";"2014-2020";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
16;13502;"Developmental Review";journal;"02732297, 10902406";3,083;Q1;88;16;60;2299;443;59;5,22;143,69;United States;Northern America;"Mosby Inc.";"1981-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
17;17645;"Computers and Education";journal;"03601315";3,047;Q1;164;199;527;13969;5156;522;8,54;70,20;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)"
18;23621;"Journal of Research in Science Teaching";journal;"10982736, 00224308";3,012;Q1;121;75;177;5736;909;170;5,18;76,48;United States;Northern America;"John Wiley and Sons Inc.";"1963-1967, 1969-2020";"Education (Q1)"
19;11800154593;"Strategic Organization";journal;"1741315X, 14761270";2,987;Q1;51;41;82;3389;405;69;4,49;82,66;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2020";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
20;21424;"Journal for Research in Mathematics Education";journal;"00218251";2,916;Q1;74;23;68;1230;187;63;2,81;53,48;United States;Northern America;"National Council of Teachers of Mathematics";"1996-2020";"Education (Q1); Mathematics (miscellaneous) (Q1)"
21;24456;"Child Development";journal;"14678624, 00093920";2,880;Q1;243;285;515;17148;2751;491;5,61;60,17;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1945-1948, 1950-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)"
22;19725;"Educational Administration Quarterly";journal;"0013161X, 15523519";2,791;Q1;75;34;77;2874;316;73;3,06;84,53;United States;Northern America;"SAGE Publications Inc.";"1965-2020";"Education (Q1); Public Administration (Q1)"
23;4700152632;"International Journal of Computer-Supported Collaborative Learning";journal;"15561607, 15561615";2,772;Q1;50;22;65;1346;349;53;6,89;61,18;Germany;Western Europe;"Springer Publishing Company";"2006-2019";"Education (Q1); Human-Computer Interaction (Q1)"
24;22055;"Exceptional Children";journal;"00144029";2,765;Q1;85;24;95;1225;347;67;4,95;51,04;United States;Northern America;"SAGE Publications Inc.";"1936-1937, 1958, 1961-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
25;13455;"Learning and Instruction";journal;"09594752";2,647;Q1;108;87;226;5278;1221;216;4,09;60,67;United Kingdom;Western Europe;"Elsevier BV";"1991-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
26;23167;"Language Teaching Research";journal;"13621688, 14770954";2,596;Q1;50;89;139;4796;444;102;3,91;53,89;United States;Northern America;"SAGE Publications Ltd";"1997-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
27;19700187625;"Journal of Research on Educational Effectiveness";journal;"19345739, 19345747";2,591;Q1;31;36;112;1987;363;93;4,32;55,19;United States;Northern America;"Routledge";"2008-2020";"Education (Q1)"
28;13357;"Journal of the Learning Sciences";journal;"10508406, 15327809";2,569;Q1;89;22;61;1353;298;49;5,39;61,50;United States;Northern America;"Routledge";"1991-1992, 1994-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
29;23145;"Language Learning";journal;"14679922, 00238333";2,404;Q1;95;47;138;3196;478;129;4,36;68,00;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
30;19700201158;"Studies in Science Education";journal;"19408412, 03057267";2,319;Q1;42;6;18;1025;91;18;4,15;170,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2020";"Education (Q1)"
31;16514;"Review of Research in Education";journal;"0091732X, 19351038";2,312;Q1;55;17;58;1822;277;55;5,82;107,18;United States;Northern America;"SAGE Publications Inc.";"1973-1981, 1983-1988, 1990-2000, 2002-2019";"Education (Q1)"
32;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";2,296;Q1;32;28;52;1980;188;50;3,50;70,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2020";"Education (Q1); Sociology and Political Science (Q1)"
33;21100896685;"Cours specialises";book series;"12846090";2,274;Q1;1;0;1;0;7;1;7,00;0,00;France;Western Europe;"Societe Mathematique de France";"2018";"Education (Q1); Mathematics (miscellaneous) (Q1)"
34;20323;"Journal of Education Policy";journal;"02680939, 14645106";2,274;Q1;73;78;142;5400;616;133;4,12;69,23;United Kingdom;Western Europe;"Routledge";"1986-2020";"Education (Q1)"
35;26493;"Academic Medicine";journal;"10402446, 1938808X";2,263;Q1;143;526;1514;7644;3545;914;3,55;14,53;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1940-1941, 1945, 1953-1956, 1959, 1961, 1964-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
36;12006;"Journal of Vocational Behavior";journal;"10959084, 00018791";2,210;Q1;141;119;242;9734;1391;236;5,40;81,80;United States;Northern America;"Academic Press Inc.";"1971-2020";"Applied Psychology (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1)"
37;12882;"Contemporary Educational Psychology";journal;"0361476X, 10902384";2,152;Q1;99;88;190;6904;802;187;3,86;78,45;United States;Northern America;"Academic Press Inc.";"1976-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
38;14723;"Urban Education";journal;"00420859, 15528340";2,075;Q1;52;99;186;6285;491;137;3,48;63,48;United States;Northern America;"SAGE Publications Inc.";"1965-2020";"Education (Q1); Urban Studies (Q1)"
39;5700168406;"Active Learning in Higher Education";journal;"14697874, 17412625";2,070;Q1;44;30;81;1300;274;51;4,94;43,33;United States;Northern America;"SAGE Publications Ltd";"2000-2020";"Education (Q1)"
40;16055;"Reading Research Quarterly";journal;"00340553";2,060;Q1;86;44;83;3601;269;68;4,40;81,84;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
41;23626;"Science Education";journal;"00368326, 1098237X";2,012;Q1;108;63;145;4708;527;139;3,68;74,73;United States;Northern America;"Wiley-Liss Inc.";"1930-2020";"Education (Q1); History and Philosophy of Science (Q1)"
42;27188;"Language Learning and Technology";journal;"10943501";2,011;Q1;69;27;104;1333;315;93;2,79;49,37;United States;Northern America;"University of Hawaii Press";"1997-1998, 2000-2019";"Computer Science Applications (Q1); Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
43;29425;"Harvard Educational Review";journal;"00178055";2,005;Q1;76;0;27;0;137;25;3,20;0,00;United States;Northern America;"Harvard University";"1979, 1989, 1996-2017";"Education (Q1)"
44;22695;"Remedial and Special Education";journal;"15384756, 07419325";1,982;Q1;61;51;93;2345;333;86;3,88;45,98;United States;Northern America;"SAGE Publications Inc.";"1984-2020";"Education (Q1); Public Health, Environmental and Occupational Health (Q1)"
45;22497;"Journal of Second Language Writing";journal;"10603743";1,963;Q1;70;42;81;1596;267;56;3,32;38,00;United Kingdom;Western Europe;"Elsevier Ltd.";"1992-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
46;145202;"Journal of Mathematics Teacher Education";journal;"13864416";1,958;Q1;35;51;89;2411;191;74;2,31;47,27;Netherlands;Western Europe;"Springer Netherlands";"2005-2020";"Education (Q1); Mathematics (miscellaneous) (Q1)"
47;13268;"Scientific Studies of Reading";journal;"1532799X, 10888438";1,936;Q1;58;53;105;2983;356;101;3,35;56,28;United States;Northern America;"Routledge";"2004-2020";"Education (Q1); Psychology (miscellaneous) (Q1)"
48;19727;"Educational Policy";journal;"08959048";1,895;Q1;47;75;123;4533;301;93;2,64;60,44;United States;Northern America;"SAGE Publications Inc.";"1987-2020";"Education (Q1)"
49;5200152701;"Academy of Management Learning and Education";journal;"1537260X";1,886;Q1;71;28;98;1866;449;93;5,11;66,64;United States;Northern America;"George Washington University";"2005-2019";"Education (Q1); Organizational Behavior and Human Resource Management (Q1)"
50;19490;"Journal of Higher Education";journal;"15384640, 00221546";1,847;Q1;82;52;89;3209;311;89;2,85;61,71;United States;Northern America;"Ohio State University Press";"1994, 1996-2020";"Education (Q1)"
51;20853;"Studies in Higher Education";journal;"03075079, 1470174X";1,836;Q1;97;347;465;17618;2020;429;4,60;50,77;United Kingdom;Western Europe;"Routledge";"1976-2020";"Education (Q1)"
52;19700200912;"CALICO Journal";journal;"20569017";1,827;Q1;31;17;66;584;140;54;2,74;34,35;United States;Northern America;"Equinox Publishing Ltd";"1983-1996, 1998-2020";"Computer Science Applications (Q1); Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
53;19692;"Economics of Education Review";journal;"02727757";1,819;Q1;80;91;258;3939;554;255;1,67;43,29;United Kingdom;Western Europe;"Elsevier Ltd.";"1981-1982, 1984-2020";"Economics and Econometrics (Q1); Education (Q1)"
54;4700151738;"Journal of Literacy Research";journal;"1086296X, 15548430";1,813;Q1;41;27;78;1487;175;62;2,89;55,07;United States;Northern America;"SAGE Publications Inc.";"1969-1972, 1974-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
55;23316;"Teaching and Teacher Education";journal;"0742051X";1,803;Q1;114;232;622;15884;2659;617;3,77;68,47;United Kingdom;Western Europe;"Elsevier Ltd.";"1985-2020";"Education (Q1)"
56;13563;"Educational and Psychological Measurement";journal;"00131644, 15523888";1,798;Q1;88;69;153;2671;403;150;2,26;38,71;United States;Northern America;"SAGE Publications Inc.";"1941-2020";"Applied Mathematics (Q1); Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)"
57;77191;"Early Childhood Research Quarterly";journal;"08852006";1,792;Q1;91;126;234;9201;887;219;3,15;73,02;United Kingdom;Western Europe;"Elsevier Ltd.";"1986-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)"
58;22894;"Research Evaluation";journal;"09582029, 14715449";1,792;Q1;44;29;106;1383;353;102;2,89;47,69;United Kingdom;Western Europe;"Oxford University Press";"1991-1996, 1998-2019";"Education (Q1); Library and Information Sciences (Q1)"
59;30074;"Journal of School Psychology";journal;"00224405, 18733506";1,789;Q1;89;63;146;4890;620;140;4,13;77,62;United Kingdom;Western Europe;"Elsevier BV";"1963-1968, 1970-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
60;20731;"Research in Higher Education";journal;"1573188X, 03610365";1,776;Q1;80;74;125;4507;434;121;3,02;60,91;Netherlands;Western Europe;"Springer Netherlands";"1973-2020";"Education (Q1)"
61;25680;"Journal of Youth and Adolescence";journal;"15736601, 00472891";1,773;Q1;110;199;495;11497;2039;479;3,83;57,77;Netherlands;Western Europe;"Springer New York";"1972-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)"
62;18927;"Journal of Human Evolution";journal;"00472484, 10958606";1,771;Q1;117;129;371;13181;1163;353;3,26;102,18;United States;Northern America;"Academic Press Inc.";"1972-2020";"Anthropology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Education (Q1)"
63;22612;"Journal of Special Education";journal;"15384764, 00224669";1,753;Q1;68;32;65;1226;170;61;2,59;38,31;United States;Northern America;"SAGE Publications Inc.";"1966-2020";"Education (Q1); Rehabilitation (Q1)"
64;18787;"Higher Education";journal;"00181560, 1573174X";1,731;Q1;91;169;339;9523;1413;324;4,09;56,35;Netherlands;Western Europe;"Springer Netherlands";"1972-2020";"Education (Q1); Law (Q1)"
65;21996;"Behavioral Disorders";journal;"01987429";1,727;Q1;42;34;55;1820;131;52;2,32;53,53;United States;Northern America;"SAGE Publications Inc.";"1996-2011, 2013-2020";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1)"
66;4000150501;"TESOL Quarterly";journal;"00398322";1,725;Q1;84;83;155;3738;452;149;2,28;45,04;United States;Northern America;"Wiley-Blackwell";"1981-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
67;6300153120;"Educational Management Administration and Leadership";journal;"17411440, 17411432";1,712;Q1;40;99;163;5404;532;141;3,74;54,59;United Kingdom;Western Europe;"SAGE Publications Ltd";"1972-1993, 1995-1999, 2003-2020";"Education (Q1); Strategy and Management (Q1)"
68;12841;"Clinical Child and Family Psychology Review";journal;"15732827, 10964037";1,711;Q1;95;32;73;3280;319;69;3,90;102,50;United States;Northern America;"Kluwer Academic Publishers";"1998-2020";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
69;17806;"Medical Education";journal;"13652923, 03080110";1,711;Q1;129;262;765;5838;1634;422;3,49;22,28;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1966-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
70;12856;"Comparative Education Review";journal;"00104086, 1545701X";1,697;Q1;51;26;98;1273;259;90;2,87;48,96;United States;Northern America;"University of Chicago Press";"1976-1977, 1980-1982, 1984, 1994, 1996-2020";"Education (Q1)"
71;22609;"Journal of Learning Disabilities";journal;"15384780, 00222194";1,684;Q1;86;42;151;2227;512;143;3,08;53,02;United States;Northern America;"SAGE Publications Inc.";"1973-2020";"Education (Q1); Health Professions (miscellaneous) (Q1); Health (social science) (Q1)"
72;4700152724;"Metacognition and Learning";journal;"15561631, 15561623";1,644;Q1;46;26;49;1522;175;46;3,55;58,54;Germany;Western Europe;"Springer New York";"2006-2020";"Education (Q1)"
73;21447;"Journal of English for Academic Purposes";journal;"14751585";1,639;Q1;50;67;136;2931;300;119;2,06;43,75;United Kingdom;Western Europe;"Elsevier BV";"2002-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
74;5700152760;"Assessment & Evaluation in Higher Education";journal;"02602938, 1469297X";1,638;Q1;76;122;268;5466;928;262;3,50;44,80;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2020";"Education (Q1)"
75;20738;"Review of Higher Education";journal;"01625748, 10907009";1,633;Q1;58;82;65;5391;209;63;3,43;65,74;United States;Northern America;"Johns Hopkins University Press";"1996-2019";"Education (Q1)"
76;23988;"British Journal of Educational Technology";journal;"00071013, 14678535";1,624;Q1;87;211;305;9550;1309;275;4,65;45,26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2020";"Education (Q1); E-learning (Q1)"
77;16800154721;"Journal of Hospitality and Tourism Research";journal;"10963480, 15577554";1,618;Q1;60;68;122;3986;665;119;5,27;58,62;United States;Northern America;"SAGE Publications Inc.";"1976-1981, 1983-1985, 1987-2020";"Education (Q1); Tourism, Leisure and Hospitality Management (Q1)"
78;21100803185;"Proceedings - 2015 IEEE International Electric Machines and Drives Conference, IEMDC 2015";conference and proceedings;"-";1,618;-;1;0;1;0;2;1;0,00;0,00;United States;Northern America;"";"";"Education; Engineering (miscellaneous)"
79;25961;"Educational Studies in Mathematics";journal;"15730816, 00131954";1,574;Q1;60;68;182;2741;369;169;2,11;40,31;Netherlands;Western Europe;"Springer Netherlands";"1968-2020";"Education (Q1); Mathematics (miscellaneous) (Q1)"
80;18947;"User Modeling and User-Adapted Interaction";journal;"15731391, 09241868";1,574;Q1;69;33;40;2541;287;36;7,95;77,00;Netherlands;Western Europe;"Springer Netherlands";"1991-2020";"Computer Science Applications (Q1); Education (Q1); Human-Computer Interaction (Q1)"
81;18000156704;"Mathematical Thinking and Learning";journal;"15327833, 10986065";1,569;Q1;20;18;41;1108;87;39;1,63;61,56;United States;Northern America;"Routledge";"2009-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Mathematics (miscellaneous) (Q1)"
82;144959;"Journal of Studies in International Education";journal;"10283153";1,556;Q1;56;66;76;2879;299;74;3,57;43,62;United States;Northern America;"SAGE Publications Inc.";"1997-2020";"Education (Q1)"
83;26183;"Journal of Computer Assisted Learning";journal;"13652729, 02664909";1,540;Q1;86;77;184;4367;716;181;3,24;56,71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2020";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
84;16444;"Journal of Educational and Behavioral Statistics";journal;"10769986";1,520;Q1;55;38;78;1495;197;74;2,52;39,34;United States;Northern America;"SAGE Publications Inc.";"1996-2020";"Education (Q1); Social Sciences (miscellaneous) (Q1)"
85;14779;"School Psychology Review";journal;"02796015";1,504;Q1;86;31;80;1598;227;80;2,62;51,55;United States;Northern America;"National Association of School Psychologists";"1988, 1996-2019";"Developmental and Educational Psychology (Q1); Education (Q1)"
86;23256;"System";journal;"0346251X";1,474;Q1;71;109;271;6417;801;263;2,70;58,87;United Kingdom;Western Europe;"Elsevier Ltd.";"1973-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
87;12770;"British Journal of Educational Psychology";journal;"00070998, 20448279";1,466;Q1;90;104;121;5744;377;114;3,16;55,23;United States;Northern America;"Wiley-Blackwell";"1931-1951, 1956-1958, 1960, 1962-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
88;18300156704;"Higher Education Research and Development";journal;"14698366, 07294360";1,449;Q1;64;146;313;6485;1031;291;3,66;44,42;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-1995, 1997, 1999-2020";"Education (Q1)"
89;19400158815;"Communications in Information Literacy";journal;"19335954";1,448;Q1;14;14;53;412;97;49;1,63;29,43;United States;Northern America;"Communications in Information Literacy";"2009-2019";"Education (Q1); E-learning (Q1); Library and Information Sciences (Q1)"
90;5000157803;"Bilingualism";journal;"14691841, 13667289";1,441;Q1;55;94;300;5722;671;246;2,26;60,87;United Kingdom;Western Europe;"Cambridge University Press";"2005-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
91;16047;"Race Ethnicity and Education";journal;"1470109X, 13613324";1,428;Q1;44;73;198;4567;457;174;2,71;62,56;United Kingdom;Western Europe;"Routledge";"1998-2020";"Cultural Studies (Q1); Demography (Q1); Education (Q1)"
92;5700156763;"Teachers and Teaching: Theory and Practice";journal;"13540602, 14701278";1,412;Q1;50;64;195;3051;496;164;3,02;47,67;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2020";"Arts and Humanities (miscellaneous) (Q1); Education (Q1)"
93;23429;"Assessing Writing";journal;"10752935";1,376;Q1;33;31;70;1438;187;60;2,91;46,39;United Kingdom;Western Europe;"Elsevier Ltd.";"1994-2000, 2002-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
94;13453;"Learning and Individual Differences";journal;"18733425, 10416080";1,376;Q1;74;97;519;7333;1514;514;2,58;75,60;United Kingdom;Western Europe;"Elsevier BV";"1989-2000, 2002-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1)"
95;21100794681;"Studies in Second Language Learning and Teaching";journal;"20835205, 20841965";1,371;Q1;9;30;97;1359;204;84;2,50;45,30;Poland;Eastern Europe;"Adam Mickiewicz University Press";"2016-2019";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
96;12104;"British Journal of Sociology of Education";journal;"14653346, 01425692";1,370;Q1;70;74;234;3760;601;226;2,32;50,81;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2020";"Education (Q1); Sociology and Political Science (Q1)"
97;19700188332;"International Journal for Academic Development";journal;"1360144X, 14701324";1,358;Q1;20;47;102;1400;216;85;1,93;29,79;United States;Northern America;"Routledge";"2010-2020";"Education (Q1)"
98;20598;"English for Specific Purposes";journal;"08894906";1,356;Q1;67;29;79;1521;216;79;3,02;52,45;United Kingdom;Western Europe;"Elsevier BV";"1980-1981, 1986-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
99;22076;"Gifted Child Quarterly";journal;"00169862, 19349041";1,353;Q1;46;17;75;1346;174;69;2,36;79,18;United States;Northern America;"SAGE Publications Inc.";"1957-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
100;28879;"European Journal of Teacher Education";journal;"14695928, 02619768";1,343;Q1;37;50;135;2404;341;117;2,93;48,08;United Kingdom;Western Europe;"Routledge";"1982-2020";"Education (Q1)"
101;18357;"Medical Teacher";journal;"0142159X, 1466187X";1,339;Q1;101;393;859;8521;1711;583;2,64;21,68;United Kingdom;Western Europe;"Informa Healthcare";"1979-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
102;21100220372;"International Journal of Mobile Learning and Organisation";journal;"17467268, 1746725X";1,334;Q1;20;21;56;1046;126;51;2,31;49,81;Switzerland;Western Europe;"Inderscience Publishers";"2011-2020";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
103;26913;"Advances in Health Sciences Education";journal;"15731677, 13824996";1,326;Q1;60;93;233;4446;636;208;2,66;47,81;Netherlands;Western Europe;"Springer Netherlands";"1996-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
104;20764;"Educational Technology Research and Development";journal;"10421629, 15566501";1,321;Q1;84;90;209;6200;861;202;3,67;68,89;United States;Northern America;"Springer Boston";"1957, 1989-2020";"Education (Q1)"
105;17700156740;"Journal of Diversity in Higher Education";journal;"19388926";1,321;Q1;29;74;84;1583;228;79;2,29;21,39;United States;Northern America;"American Psychological Association Inc.";"2008-2020";"Education (Q1)"
106;144953;"Journal of Educational Change";journal;"13892843";1,289;Q1;33;26;72;1691;179;65;2,30;65,04;Netherlands;Western Europe;"Springer Netherlands";"2005-2020";"Education (Q1)"
107;18405;"Educational Technology and Society";journal;"11763647, 14364522";1,287;Q1;81;18;289;757;1070;279;3,53;42,06;Taiwan;Asiatic Region;"National Taiwan Normal University";"1998-2019";"Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1); Sociology and Political Science (Q1)"
108;200147112;"Teaching in Higher Education";journal;"14701294, 13562517";1,284;Q1;51;128;197;6335;630;192;3,05;49,49;United Kingdom;Western Europe;"Routledge";"2005-2020";"Education (Q1)"
109;21448;"Journal of Experimental Education";journal;"19400683, 00220973";1,282;Q1;54;83;113;4393;341;110;2,66;52,93;United States;Northern America;"Routledge";"1932-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
110;23940;"Journal of Mathematical Behavior";journal;"07323123";1,276;Q1;41;70;143;3299;254;133;1,96;47,13;United States;Northern America;"Elsevier Inc.";"1994-2020";"Applied Mathematics (Q1); Applied Psychology (Q1); Education (Q1)"
111;21368;"Instructional Science";journal;"00204277, 15731952";1,272;Q1;68;29;109;2088;295;108;2,47;72,00;Netherlands;Western Europe;"Springer Netherlands";"1972-1992, 1994-2020";"Developmental and Educational Psychology (Q1); Education (Q1)"
112;29442;"Quest";journal;"15432750, 00336297";1,272;Q1;48;42;103;2018;278;102;3,39;48,05;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1963-2020";"Education (Q1); Sports Science (Q1)"
113;21472;"Journal of Teaching in Physical Education";journal;"02735024, 15432769";1,239;Q1;52;11;141;540;299;128;1,96;49,09;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-2019";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
114;29434;"American Journal of Education";journal;"15496511, 01956744";1,237;Q1;51;20;60;1477;105;55;1,63;73,85;United States;Northern America;"University of Chicago";"1995-2001, 2003-2020";"Education (Q1)"
115;19635;"Teaching and Learning in Medicine";journal;"10401334, 15328015";1,237;Q1;45;60;148;2157;334;143;1,98;35,95;United States;Northern America;"Routledge";"1989-2020";"Education (Q1); Medicine (miscellaneous) (Q1)"
116;200147108;"Distance Education";journal;"14750198, 01587919";1,229;Q1;48;34;91;1550;232;81;2,72;45,59;United Kingdom;Western Europe;"Routledge";"1980-2020";"Education (Q1); E-learning (Q1)"
117;145681;"Interactive Learning Environments";journal;"10494820";1,226;Q1;38;243;337;11668;993;269;3,52;48,02;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990, 1992-1994, 2004-2020";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)"
